symbol,timeframe,side,price,timestamp,pnl,capital
BNBUSDT,1w,BUY,1.49,1.5099264E12,,
BNBUSDT,1w,SELL,1.6,1.5105312E12,1.3750000000000013,1001.375
BNBUSDT,1w,BUY,1.8388,1.511136E12,,
BNBUSDT,1w,SELL,2.2617,1.5117408E12,3.739664853870981,1005.114664853871
BNBUSDT,1w,BUY,2.4619,1.5123456E12,,
BNBUSDT,1w,SELL,5.999,1.5129504E12,11.792298716452741,1016.9069635703237
BNBUSDT,1w,BUY,5.181,1.5135552E12,,
BNBUSDT,1w,SELL,8.53,1.51416E12,7.852286049237982,1024.7592496195616
BNBUSDT,1w,BUY,18.594,1.5147648E12,,
BNBUSDT,1w,SELL,20.4541,1.5153696E12,1.818804053954952,1026.5780536735165
BNBUSDT,1w,BUY,14.1334,1.5159744E12,,
BNBUSDT,1w,SELL,13.7739,1.5165792E12,-0.5220017569461091,1026.0560519165704
BNBUSDT,1w,BUY,8.3511,1.517184E12,,
BNBUSDT,1w,SELL,8.674,1.5177888E12,0.7445238644224093,1026.8005757809929
BNBUSDT,1w,BUY,10.6631,1.5183936E12,,
BNBUSDT,1w,SELL,9.35,1.5189984E12,-2.808770053475937,1023.991805727517
BNBUSDT,1w,BUY,10.4139,1.5196032E12,,
BNBUSDT,1w,SELL,8.268,1.520208E12,-5.190856313497821,1018.8009494140191
BNBUSDT,1w,BUY,8.9648,1.5208128E12,,
BNBUSDT,1w,SELL,12.95,1.5214176E12,6.154749034749034,1024.955698448768
BNBUSDT,1w,BUY,11.0767,1.5220224E12,,
BNBUSDT,1w,SELL,12.1311,1.5226272E12,1.73834194755628,1026.6940403963245
BNBUSDT,1w,BUY,13.0989,1.523232E12,,
BNBUSDT,1w,SELL,12.8888,1.5238368E12,-0.3260194897895857,1026.3680209065349
BNBUSDT,1w,BUY,15.0489,1.5244416E12,,
BNBUSDT,1w,SELL,14.012,1.5250464E12,-1.4800171281758483,1024.888003778359
BNBUSDT,1w,BUY,13.1515,1.5256512E12,,
BNBUSDT,1w,SELL,14.1666,1.526256E12,1.433089096889868,1026.321092875249
BNBUSDT,1w,BUY,12.6046,1.5268608E12,,
BNBUSDT,1w,SELL,14.6995,1.5274656E12,2.850301030647302,1029.1713939058964
BNBUSDT,1w,BUY,14.18,1.5280704E12,,
BNBUSDT,1w,SELL,16.5987,1.5286752E12,2.914324615783165,1032.0857185216796
BNBUSDT,1w,BUY,14.4174,1.52928E12,,
BNBUSDT,1w,SELL,14.37,1.5298848E12,-0.06597077244259074,1032.019747749237
BNBUSDT,1w,BUY,14.01,1.5304896E12,,
BNBUSDT,1w,SELL,12.321,1.5310944E12,-2.7416605794984177,1029.2780871697387
BNBUSDT,1w,BUY,12.1885,1.5316992E12,,
BNBUSDT,1w,SELL,13.9569,1.532304E12,2.534087082375026,1031.8121742521137
BNBUSDT,1w,BUY,13.64,1.5329088E12,,
BNBUSDT,1w,SELL,11.7999,1.5335136E12,-3.118839990169411,1028.6933342619443
BNBUSDT,1w,BUY,10.1388,1.5341184E12,,
BNBUSDT,1w,SELL,10.2158,1.5347232E12,0.15074688228038913,1028.8440811442247
BNBUSDT,1w,BUY,11.3684,1.535328E12,,
BNBUSDT,1w,SELL,9.5399,1.5359328E12,-3.833373515445655,1025.010707628779
BNBUSDT,1w,BUY,9.9399,1.5365376E12,,
BNBUSDT,1w,SELL,10.2907,1.5371424E12,0.681780636885731,1025.692488265665
BNBUSDT,1w,BUY,10.0172,1.5377472E12,,
BNBUSDT,1w,SELL,10.5852,1.538352E12,1.0731965385632762,1026.7656848042282
BNBUSDT,1w,BUY,9.5895,1.5389568E12,,
BNBUSDT,1w,SELL,9.9311,1.5395616E12,0.6879399059520123,1027.45362471018
BNBUSDT,1w,BUY,9.7207,1.5401664E12,,
BNBUSDT,1w,SELL,9.819,1.5407712E12,0.2002240554027906,1027.6538487655828
BNBUSDT,1w,BUY,9.5611,1.541376E12,,
BNBUSDT,1w,SELL,8.0832,1.5419808E12,-3.656720110847189,1023.9971286547355
BNBUSDT,1w,BUY,5.2873,1.5425856E12,,
BNBUSDT,1w,SELL,5.2888,1.5431904E12,0.0056723642414160365,1024.002801018977
BNBUSDT,1w,BUY,4.7693,1.5437952E12,,
BNBUSDT,1w,SELL,4.616,1.5444E12,-0.664211438474873,1023.338589580502
BNBUSDT,1w,BUY,5.959,1.5450048E12,,
BNBUSDT,1w,SELL,5.8939,1.5456096E12,-0.22090636081372017,1023.1176832196883
BNBUSDT,1w,BUY,6.2688,1.5462144E12,,
BNBUSDT,1w,SELL,5.4688,1.5468192E12,-2.9256875365710937,1020.1919956831172
BNBUSDT,1w,BUY,6.4008,1.547424E12,,
BNBUSDT,1w,SELL,7.0396,1.5480288E12,1.814875845218478,1022.0068715283356
BNBUSDT,1w,BUY,6.7887,1.5486336E12,,
BNBUSDT,1w,SELL,9.1697,1.5492384E12,5.193190616923127,1027.2000621452587
BNBUSDT,1w,BUY,9.22,1.5498432E12,,
BNBUSDT,1w,SELL,9.9476,1.550448E12,1.4628654147734106,1028.6629275600321
BNBUSDT,1w,BUY,11.4511,1.5510528E12,,
BNBUSDT,1w,SELL,14.3711,1.5516576E12,4.063711198168546,1032.7266387582006
BNBUSDT,1w,BUY,15.5693,1.5522624E12,,
BNBUSDT,1w,SELL,17.1096,1.5528672E12,1.8005096553981392,1034.5271484135988
BNBUSDT,1w,BUY,17.5376,1.553472E12,,
BNBUSDT,1w,SELL,18.9523,1.5540768E12,1.4929058742210706,1036.02005428782
BNBUSDT,1w,BUY,19.3866,1.5546816E12,,
BNBUSDT,1w,SELL,23.9999,1.5552864E12,3.844432685136187,1039.864486972956
BNBUSDT,1w,BUY,23.0226,1.5558912E12,,
BNBUSDT,1w,SELL,22.9777,1.556496E12,-0.03908137019806329,1039.8254056027579
