symbol,timeframe,side,price,timestamp,pnl,capital
BTCUSDT,1m,BUY,69414.84,1770651420000,,0,00
BTCUSDT,1m,SELL,69501.88,1770651480000,0,00002508,0,02
BTCUSDT,1m,BUY,69429.39,1770651540000,,0,00
BTCUSDT,1m,SELL,69470.0,1770651600000,0,00001170,0,02
BTCUSDT,1m,BUY,69416.61,1770651660000,,0,00
BTCUSDT,1m,SELL,69589.1,1770651720000,0,00004970,0,02
BTCUSDT,1m,BUY,69537.61,1770651780000,,0,00
BTCUSDT,1m,SELL,69542.29,1770651840000,0,00000135,0,02
BTCUSDT,1m,BUY,69586.23,1770651900000,,0,00
BTCUSDT,1m,SELL,69438.25,1770651960000,-0,00004253,0,02
BTCUSDT,1m,BUY,69398.2,1770652020000,,0,00
BTCUSDT,1m,SELL,69317.23,1770652080000,-0,00002333,0,02
BTCUSDT,1m,BUY,69439.76,1770652140000,,0,00
BTCUSDT,1m,SELL,69408.15,1770652200000,-0,00000910,0,02
BTCUSDT,1m,BUY,69321.08,1770652260000,,0,00
BTCUSDT,1m,SELL,69220.85,1770652320000,-0,00002892,0,02
BTCUSDT,1m,BUY,69396.01,1770652380000,,0,00
BTCUSDT,1m,BUY,69528.58,1770652500000,,196,00
