symbol,timeframe,side,price,timestamp,pnl,capital
BTCUSDT,1h,BUY,4308.83,1.5029424E12,,
BTCUSDT,1h,SELL,4315.32,1.502946E12,0.030078881751526107,1000.0300788817515
BTCUSDT,1h,BUY,4324.35,1.5029496E12,,
BTCUSDT,1h,SELL,4349.99,1.5029532E12,0.1178853284720168,1000.1479642102234
BTCUSDT,1h,BUY,4360.69,1.5029568E12,,
BTCUSDT,1h,SELL,4444.0,1.5029604E12,0.37493249324932676,1000.5228967034727
BTCUSDT,1h,BUY,4460.0,1.502964E12,,
BTCUSDT,1h,SELL,4427.3,1.5029676E12,-0.14771982924129748,1000.3751768742314
BTCUSDT,1h,BUY,4411.0,1.5029712E12,,
BTCUSDT,1h,SELL,4459.0,1.5029748E12,0.2152949091724602,1000.5904717834039
BTCUSDT,1h,BUY,4470.82,1.5029784E12,,
BTCUSDT,1h,SELL,4352.34,1.502982E12,-0.5444427595270569,1000.0460290238768
BTCUSDT,1h,BUY,4354.18,1.5029856E12,,
BTCUSDT,1h,SELL,4289.24,1.5029892E12,-0.30280422638975907,999.7432247974871
BTCUSDT,1h,BUY,4256.97,1.5029928E12,,
BTCUSDT,1h,SELL,4325.23,1.5029964E12,0.31563639390274884,1000.0588611913898
BTCUSDT,1h,BUY,4346.74,1.503E12,,
BTCUSDT,1h,SELL,4333.55,1.5030036E12,-0.06087387938295208,999.9979873120069
BTCUSDT,1h,BUY,4336.8,1.5030072E12,,
BTCUSDT,1h,SELL,4285.08,1.5030108E12,-0.2413957265675332,999.7565915854393
BTCUSDT,1h,BUY,4286.53,1.5030144E12,,
BTCUSDT,1h,SELL,4243.59,1.503018E12,-0.20237581858756193,999.5542157668517
BTCUSDT,1h,BUY,4267.59,1.5030216E12,,
BTCUSDT,1h,SELL,4292.39,1.5030252E12,0.11555333974778703,999.6697691065995
BTCUSDT,1h,BUY,4287.92,1.5030288E12,,
BTCUSDT,1h,SELL,4313.56,1.5030324E12,0.11888092434091714,999.7886500309404
BTCUSDT,1h,BUY,4279.46,1.503036E12,,
BTCUSDT,1h,SELL,4300.25,1.5030396E12,0.09669205278762845,999.885342083728
BTCUSDT,1h,BUY,4282.73,1.5030432E12,,
BTCUSDT,1h,SELL,4304.15,1.5030468E12,0.09953184717075414,999.9848739308987
BTCUSDT,1h,BUY,4356.31,1.5030504E12,,
BTCUSDT,1h,SELL,4340.31,1.503054E12,-0.07372745264739154,999.9111464782513
BTCUSDT,1h,BUY,4331.71,1.5030576E12,,
BTCUSDT,1h,SELL,4293.09,1.5030612E12,-0.1799170294589673,999.7312294487924
BTCUSDT,1h,BUY,4259.4,1.5030648E12,,
BTCUSDT,1h,SELL,4236.89,1.5030684E12,-0.10625718392499832,999.6249722648674
BTCUSDT,1h,BUY,4250.34,1.503072E12,,
BTCUSDT,1h,SELL,4193.35,1.5030756E12,-0.2718113203047672,999.3531609445627
BTCUSDT,1h,BUY,4117.41,1.5030792E12,,
BTCUSDT,1h,SELL,4136.28,1.5030828E12,0.09124140532072245,999.4444023498834
BTCUSDT,1h,BUY,4021.11,1.5030864E12,,
BTCUSDT,1h,SELL,3975.69,1.50309E12,-0.22848863970782468,999.2159137101755
BTCUSDT,1h,BUY,4113.75,1.5030936E12,,
BTCUSDT,1h,SELL,4108.37,1.5030972E12,-0.026190435622887465,999.1897232745526
BTCUSDT,1h,BUY,4163.49,1.5031008E12,,
BTCUSDT,1h,SELL,4148.53,1.5031044E12,-0.07212193234712072,999.1176013422055
BTCUSDT,1h,BUY,4156.39,1.503108E12,,
